dataset_id,model,rmse,mae,nasa_score,loss,best_epoch,train_units,validation_units,train_rows,validation_rows,train_sequence_samples,validation_sequence_samples
FD001,random_forest,16.663887862789544,11.737326226012794,33564.9732455995,,,80,20,16379,3752,,
FD002,random_forest,19.594690195722908,15.050733102918585,144504.91383696874,,,208,52,42043,10416,,
FD003,random_forest,13.328514545031744,8.783287285525738,27589.471944202793,,,80,20,19674,4546,,
FD004,random_forest,20.162337254149104,14.250003912618194,394994.36279436864,,,199,50,47736,12268,,
